event_date,transactions,dogecoin,intervention
2015-08-31,453387,1,0
2015-09-30,388960,1,0
2015-10-31,443879,1,0
2015-11-30,473274,1,0
2015-12-31,520419,1,0
2016-01-31,571172,1,0
2016-02-29,441059,1,0
2016-03-31,440549,1,0
2016-04-30,475378,1,0
2016-05-31,473680,1,0
2016-06-30,367937,1,0
2016-07-31,420592,1,0
2016-08-31,411916,1,0
2016-09-30,307732,1,0
2016-10-31,310650,1,0
2016-11-30,247383,1,0
2016-12-31,264727,1,0
2017-01-31,308949,1,0
2017-02-28,359086,1,0
2017-03-31,404916,1,0
2017-04-30,391891,1,0
2017-05-31,480026,1,0
2017-06-30,454946,1,0
2017-07-31,439551,1,0
2017-08-31,493718,1,0
2017-09-30,560391,1,0
2017-10-31,633527,1,0
2017-11-30,525695,1,0
2017-12-31,836191,1,0
2018-01-31,1043065,1,0
2018-02-28,809514,1,0
2018-03-31,791635,1,0
2018-04-30,848903,1,0
2018-05-31,807539,1,0
2018-06-30,1011247,1,0
2018-07-31,771720,1,0
2018-08-31,926157,1,0
2018-09-30,923418,1,0
2018-10-31,725508,1,0
2018-11-30,945844,1,0
2018-12-31,1030000,1,0
2019-01-31,1014024,1,0
2019-02-28,808454,1,0
2019-03-31,963259,1,0
2019-04-30,956757,1,0
2019-05-31,950959,1,0
2019-06-30,907525,1,0
2019-07-31,930236,1,0
2019-08-31,939795,1,0
2019-09-30,842864,1,0
2019-10-31,877748,1,0
2019-11-30,841644,1,0
2019-12-31,943387,1,0
2020-01-31,1024891,1,0
2020-02-29,820868,1,0
2020-03-31,995046,1,0
2020-04-30,1037841,1,0
2020-05-31,1087409,1,0
2020-06-30,1387274,1,0
2020-07-31,1571674,1,0
2020-08-31,1714066,1,0
2020-09-30,1436002,1,0
2020-10-31,1265993,1,0
2020-11-30,1209079,1,0
2020-12-31,1247225,1,0
2021-01-31,1182345,1,0
2021-02-28,1091892,1,0
2021-03-31,1440281,1,0
2021-04-30,1523864,1,0
2021-05-31,1322053,1,0
2021-06-30,816346,1,0
2021-07-31,646473,1,0
2021-08-31,728202,1,0
2021-09-30,588754,1,0
2021-10-31,871451,1,0
2021-11-30,842159,1,0
2021-12-31,753307,1,0
2022-01-31,1054343,1,0
2022-02-28,880904,1,0
2022-03-31,774136,1,0
2022-04-30,710594,1,0
2022-05-31,721259,1,0
2022-06-30,821939,1,0
2022-07-31,1729432,1,0
2022-08-31,1386258,1,0
2022-09-30,823940,1,0
2022-10-31,935599,1,0
2022-11-30,794333,1,0
2022-12-31,688280,1,0
2023-01-31,692527,1,0
2023-02-28,735005,1,0
2023-03-31,1014406,1,0
2023-04-30,724348,1,0
2023-05-31,24162965,1,1
2023-06-30,4025885,1,1
