event_date,transactions,dogecoin,intervention
2013-12-31,2521402,1,0
2014-01-31,3513381,1,0
2014-02-28,2199544,1,0
2014-03-31,683313,1,0
2014-04-30,620806,1,0
2014-05-31,493837,1,0
2014-06-30,459569,1,0
2014-07-31,409011,1,0
2014-08-31,597427,1,0
2014-09-30,828917,1,0
2014-10-31,911329,1,0
2014-11-30,731558,1,0
2014-12-31,643571,1,0
2015-01-31,809670,1,0
2015-02-28,838564,1,0
2015-03-31,1306788,1,0
2015-04-30,1050351,1,0
2015-05-31,530201,1,0
2015-06-30,424607,1,0
2015-07-31,403360,1,0
2015-08-31,453387,1,0
2015-09-30,388960,1,0
2015-10-31,443879,1,0
2015-11-30,473274,1,0
2015-12-31,520419,1,0
2016-01-31,571172,1,0
2016-02-29,441059,1,0
2016-03-31,440549,1,0
2016-04-30,475378,1,0
2016-05-31,473680,1,0
2016-06-30,367937,1,0
2016-07-31,420592,1,0
2016-08-31,411916,1,0
2016-09-30,307732,1,0
2016-10-31,310650,1,0
2016-11-30,247383,1,0
2016-12-31,264727,1,0
2017-01-31,308949,1,0
2017-02-28,359086,1,0
2017-03-31,404916,1,0
2017-04-30,391891,1,0
2017-05-31,480026,1,0
2017-06-30,454946,1,0
2017-07-31,439551,1,0
2017-08-31,493718,1,0
2017-09-30,560391,1,0
2017-10-31,633527,1,0
2017-11-30,525695,1,0
2017-12-31,836191,1,0
2018-01-31,1043065,1,0
2018-02-28,809514,1,0
2018-03-31,791635,1,0
2018-04-30,848903,1,0
2018-05-31,807539,1,0
2018-06-30,1011247,1,0
2018-07-31,771720,1,0
2018-08-31,926157,1,0
2018-09-30,923418,1,0
2018-10-31,725508,1,0
2018-11-30,945844,1,0
2018-12-31,1030000,1,0
2019-01-31,1014024,1,0
2019-02-28,808454,1,0
2019-03-31,963259,1,0
2019-04-30,956757,1,0
2019-05-31,950959,1,0
2019-06-30,907525,1,0
2019-07-31,930236,1,0
2019-08-31,939795,1,0
2019-09-30,842864,1,0
2019-10-31,877748,1,0
2019-11-30,841644,1,0
2019-12-31,943387,1,0
2020-01-31,1024891,1,0
2020-02-29,820868,1,0
2020-03-31,995046,1,0
2020-04-30,1037841,1,0
2020-05-31,1087409,1,0
2020-06-30,1387274,1,0
2020-07-31,1571674,1,0
2020-08-31,1714066,1,0
2020-09-30,1436002,1,0
2020-10-31,1265993,1,0
2020-11-30,1209079,1,0
2020-12-31,1247225,1,0
2021-01-31,1182345,1,0
2021-02-28,1091892,1,0
2021-03-31,1440281,1,0
2021-04-30,1523864,1,0
2021-05-31,1322053,1,0
2021-06-30,816346,1,0
2021-07-31,646473,1,0
2021-08-31,728202,1,0
2021-09-30,588754,1,0
2021-10-31,871451,1,0
2021-11-30,842159,1,0
2021-12-31,753307,1,0
2022-01-31,1054343,1,0
2022-02-28,880904,1,0
2022-03-31,774136,1,0
2022-04-30,710594,1,0
2022-05-31,721259,1,0
2022-06-30,821939,1,0
2022-07-31,1729432,1,0
2022-08-31,1386258,1,0
2022-09-30,823940,1,0
2022-10-31,935599,1,0
2022-11-30,794333,1,0
2022-12-31,688280,1,0
2023-01-31,692527,1,0
2023-02-28,735005,1,0
2023-03-31,1014406,1,0
2023-04-30,724348,1,0
2023-05-31,24162965,1,1
2023-06-30,4025885,1,1
2023-07-31,7348573,1,1
2023-08-31,7537981,1,1
2023-09-30,1550902,1,1
2023-10-31,1137456,1,1
2023-11-30,15050429,1,1
2023-12-31,30987030,1,1
2024-01-31,16351394,1,1
2024-02-29,48093668,1,1
2024-03-31,8428117,1,1
2024-04-30,13763933,1,1
2024-05-31,5848324,1,1
2024-06-30,5440192,1,1
2024-07-31,4564304,1,1
2024-08-31,2979113,1,1
2024-09-30,5057906,1,1
2024-10-31,8106640,1,1
2024-11-30,9108855,1,1
2013-12-31,1935103,0,0
2014-01-31,1817513,0,0
2014-02-28,1846258,0,0
2014-03-31,2102466,0,0
2014-04-30,1890902,0,0
2014-05-31,1993589,0,0
2014-06-30,1817173,0,0
2014-07-31,1932272,0,0
2014-08-31,2112222,0,0
2014-09-30,2144596,0,0
2014-10-31,2390212,0,0
2014-11-30,2512559,0,0
2014-12-31,2703958,0,0
2015-01-31,2890991,0,0
2015-02-28,2661477,0,0
2015-03-31,3050358,0,0
2015-04-30,3195618,0,0
2015-05-31,3208048,0,0
2015-06-30,3510876,0,0
2015-07-31,4313056,0,0
2015-08-31,3569102,0,0
2015-09-30,4148310,0,0
2015-10-31,4268853,0,0
2015-11-30,4759910,0,0
2015-12-31,6097424,0,0
2016-01-31,5941625,0,0
2016-02-29,6328098,0,0
2016-03-31,6092921,0,0
2016-04-30,6431712,0,0
2016-05-31,6785775,0,0
2016-06-30,6875990,0,0
2016-07-31,6502334,0,0
2016-08-31,6985382,0,0
2016-09-30,6658263,0,0
2016-10-31,7372569,0,0
2016-11-30,8089573,0,0
2016-12-31,8562381,0,0
2017-01-31,8617360,0,0
2017-02-28,8277352,0,0
2017-03-31,8866167,0,0
2017-04-30,8351640,0,0
2017-05-31,10061195,0,0
2017-06-30,8071385,0,0
2017-07-31,7183759,0,0
2017-08-31,7765430,0,0
2017-09-30,7345502,0,0
2017-10-31,8987745,0,0
2017-11-30,9345256,0,0
2017-12-31,11190438,0,0
2018-01-31,8873120,0,0
2018-02-28,5356201,0,0
2018-03-31,5695168,0,0
2018-04-30,5753341,0,0
2018-05-31,6138957,0,0
2018-06-30,5752514,0,0
2018-07-31,6393536,0,0
2018-08-31,6730044,0,0
2018-09-30,6871444,0,0
2018-10-31,7580518,0,0
2018-11-30,8054376,0,0
2018-12-31,8196417,0,0
2019-01-31,9222178,0,0
2019-02-28,9269096,0,0
2019-03-31,9457625,0,0
2019-04-30,11003022,0,0
2019-05-31,11505497,0,0
2019-06-30,10486006,0,0
2019-07-31,10305251,0,0
2019-08-31,10169294,0,0
2019-09-30,9798992,0,0
2019-10-31,9892853,0,0
2019-11-30,9243776,0,0
2019-12-31,9430057,0,0
2020-01-31,9612337,0,0
2020-02-29,9439548,0,0
2020-03-31,8904203,0,0
2020-04-30,8702021,0,0
2020-05-31,9092682,0,0
2020-06-30,9192440,0,0
2020-07-31,10158131,0,0
2020-08-31,9793583,0,0
2020-09-30,9495331,0,0
2020-10-31,9284673,0,0
2020-11-30,9145550,0,0
2020-12-31,9732999,0,0
2021-01-31,10075353,0,0
2021-02-28,8969658,0,0
2021-03-31,9342128,0,0
2021-04-30,8349964,0,0
2021-05-31,7791611,0,0
2021-06-30,6513015,0,0
2021-07-31,6816539,0,0
2021-08-31,7453146,0,0
2021-09-30,7611578,0,0
2021-10-31,8451537,0,0
2021-11-30,8299915,0,0
2021-12-31,8122009,0,0
2022-01-31,7742319,0,0
2022-02-28,6996128,0,0
2022-03-31,7979435,0,0
2022-04-30,7824701,0,0
2022-05-31,8057924,0,0
2022-06-30,7514822,0,0
2022-07-31,7682716,0,0
2022-08-31,7819508,0,0
2022-09-30,7683590,0,0
2022-10-31,7973133,0,0
2022-11-30,7873937,0,0
2022-12-31,7958165,0,0
2023-01-31,8758196,0,0
2023-02-28,8388596,0,0
2023-03-31,9775965,0,0
2023-04-30,10727603,0,0
2023-05-31,16300103,0,1
2023-06-30,12147181,0,1
2023-07-31,14132707,0,1
2023-08-31,14414040,0,1
2023-09-30,14674972,0,1
2023-10-31,10139137,0,1
2023-11-30,16417694,0,1
2023-12-31,17539799,0,1
2024-01-31,14743013,0,1
2024-02-29,10568605,0,1
2024-03-31,11633235,0,1
2024-04-30,14475082,0,1
2024-05-31,18193788,0,1
2024-06-30,17420232,0,1
2024-07-31,19512260,0,1
2024-08-31,18548109,0,1
2024-09-30,17763279,0,1
2024-10-31,20481153,0,1
2024-11-30,16106214,0,1
